step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D,DEAD,true_count
1,2,0.01801449209780638,1,0,0,0,0,0,0,2.0,4.0E-4,1.25E-5
2,3,0.018028649532131676,0,1,0,1,0,0,0,3.0,6.0E-4,1.875E-5
3,4,0.01804281788823195,0,1,0,2,0,0,0,4.0,8.0E-4,2.5E-5
4,4,0.01804281788823195,0,1,0,2,1,0,0,4.0,8.0E-4,2.5E-5
5,7,0.018085388568252102,1,0,1,0,2,0,0,7.0,0.0014,4.375E-5
6,7,0.018085388568252102,2,3,0,2,0,0,0,7.0,0.0014,4.375E-5
7,11,0.018142302872079484,0,0,3,3,1,0,0,11.0,0.0022,6.875E-5
8,15,0.018199392964223113,5,0,0,5,1,0,0,15.0,0.003,9.375E-5
9,17,0.01822800409399084,0,4,0,6,4,0,0,17.0,0.0034,1.0625E-4
10,21,0.018285358847848064,1,2,2,3,5,0,0,21.0,0.0042,1.3125E-4
11,26,0.018357301393032658,5,2,2,4,2,0,0,26.0,0.0052,1.625E-4
12,30,0.01841505535223365,4,2,2,9,2,0,0,30.0,0.006,1.875E-4
13,35,0.018487498570249707,1,3,2,10,5,0,0,35.0,0.007,2.1875E-4
14,44,0.01861860164277882,3,4,3,10,3,0,0,44.0,0.0088,2.75E-4
15,51,0.01872120087123696,3,6,3,11,6,0,0,51.0,0.0102,3.1875E-4
16,62,0.01888354972617288,8,3,5,11,7,0,0,62.0,0.0124,3.875E-4
17,76,0.019092173682726993,7,6,3,20,4,0,0,76.0,0.0152,4.75E-4
18,81,0.01916722861101063,2,12,2,18,16,1,1,82.0,0.0162,5.125E-4
19,100,0.019455084568193035,3,6,9,11,14,1,1,102.0,0.02,6.375E-4
20,112,0.019639067118071715,12,14,4,18,8,3,3,117.0,0.0224,7.3125E-4
21,130,0.019918241989566786,3,13,8,26,17,3,3,138.0,0.026,8.625E-4
22,146,0.020169658796878962,11,15,9,22,22,2,2,156.0,0.0292,9.75E-4
23,161,0.020408183475053018,6,13,7,33,19,7,7,178.0,0.0322,0.0011125
24,178,0.02068185121825434,5,20,8,23,33,2,2,197.0,0.0356,0.00123125
25,188,0.0208445069595359,6,15,14,27,17,16,16,223.0,0.0376,0.00139375
26,208,0.02117358301267898,8,20,8,32,33,3,3,246.0,0.0416,0.0015375
27,221,0.021390202509759065,9,21,8,30,32,10,10,268.0,0.0442,0.001675
28,232,0.02157518785438169,9,18,12,35,29,12,12,290.0,0.0464,0.0018125
29,241,0.021727702389721184,8,18,11,31,43,13,13,310.0,0.0482,0.0019375
30,259,0.022035900435814756,13,14,10,34,37,10,10,337.0,0.0518,0.00210625
31,271,0.022243735549249768,8,27,10,37,34,11,11,358.0,0.0542,0.0022375
32,298,0.02271839269429916,13,16,16,39,38,14,14,397.0,0.0596,0.00248125
33,321,0.023130522098483784,21,30,10,45,42,8,8,427.0,0.0642,0.00266875
34,348,0.02362364510329531,10,24,17,52,44,12,12,461.0,0.0696,0.00288125
35,380,0.02422138053669791,20,28,15,45,52,6,6,496.0,0.076,0.0031
36,403,0.02466008731865044,16,30,14,55,45,11,11,527.0,0.0806,0.00329375
37,434,0.02526366035403495,17,26,19,51,56,12,12,566.0,0.0868,0.0035375
38,449,0.02556085474929782,21,28,18,56,50,20,20,599.0,0.0898,0.00374375
39,477,0.026124751895352037,19,26,18,60,63,10,10,635.0,0.0954,0.00396875
40,491,0.026411222507124542,19,26,17,58,58,24,24,671.0,0.0982,0.00419375
41,509,0.02678403537438944,17,27,14,60,67,24,24,709.0,0.1018,0.00443125
42,533,0.02728908833827748,21,32,17,53,68,21,21,746.0,0.1066,0.0046625
43,547,0.027587964786958966,18,36,19,66,59,28,28,785.0,0.1094,0.00490625
44,599,0.028726166729938052,23,28,26,73,63,10,10,837.0,0.1198,0.00523125
45,630,0.029426257378595038,30,41,20,81,58,22,22,884.0,0.126,0.005525
46,675,0.030472033264644163,23,44,31,83,80,13,13,936.0,0.135,0.00585
47,719,0.031529329227965475,32,40,32,87,74,22,22,996.0,0.1438,0.006225
48,768,0.032748543866970264,29,48,29,91,92,21,21,1055.0,0.1536,0.00659375
49,803,0.033647172095881014,29,51,28,92,96,28,28,1111.0,0.1606,0.00694375
50,834,0.03446293805737311,25,44,29,89,108,25,25,1160.0,0.1668,0.00725
51,854,0.03499932585217642,23,42,26,91,92,35,35,1210.0,0.1708,0.0075625
52,885,0.035846658327725565,29,36,23,84,109,32,32,1269.0,0.177,0.00793125
53,900,0.036263716374648335,27,49,20,88,96,37,37,1315.0,0.18,0.00821875
54,932,0.037169101014426,17,43,31,78,104,36,36,1376.0,0.1864,0.0086
55,964,0.038096196556834244,38,47,28,80,94,35,35,1436.0,0.1928,0.008975
56,998,0.03910555634209599,34,47,34,95,96,34,34,1494.0,0.1996,0.0093375
57,1042,0.04044991387459052,32,49,32,95,114,28,28,1555.0,0.2084,0.00971875
58,1071,0.04136005484198884,39,46,31,94,111,35,35,1605.0,0.2142,0.01003125
59,1114,0.042745719512129715,31,44,33,101,110,36,36,1665.0,0.2228,0.01040625
60,1147,0.04383910381853468,34,59,25,101,114,40,40,1720.0,0.2294,0.01075
61,1177,0.04485620375047985,27,63,37,102,118,42,42,1772.0,0.2354,0.011075
62,1212,0.04607124437107769,40,45,33,107,127,34,34,1834.0,0.2424,0.0114625
63,1241,0.04710165909064037,31,55,27,106,126,33,33,1882.0,0.2482,0.0117625
64,1268,0.0480806731382824,30,48,30,104,115,43,43,1939.0,0.2536,0.01211875
